latitude,longitude,bright_ti4,acq_date,acq_time,satellite,instrument,confidence,version,frp,daynight
40.62376,-122.39744,333.4,2026-08-19,1042,N,VIIRS,n,2.0NRT,43.4,N
40.64087,-122.3944,337.8,2026-08-19,0902,N,VIIRS,n,2.0NRT,62.5,N
40.62838,-122.40656,338.5,2026-08-19,1052,N,VIIRS,n,2.0NRT,35.3,N
40.61292,-122.40096,339.2,2026-08-19,0902,N,VIIRS,n,2.0NRT,16.1,N
40.62945,-122.37797,341.4,2026-08-19,1002,N,VIIRS,n,2.0NRT,9.6,N
35.42,-119.05,342.8,2026-08-19,0942,N,VIIRS,n,2.0NRT,4.0,N
35.423,-119.05,340.9,2026-08-19,1012,N,VIIRS,n,2.0NRT,4.0,N
35.417,-119.05,340.3,2026-08-19,1052,N,VIIRS,n,2.0NRT,4.0,N
40.63105,-122.38808,336.6,2026-08-20,0842,N,VIIRS,n,2.0NRT,15.3,N
40.63879,-122.36604,341.4,2026-08-20,0912,N,VIIRS,n,2.0NRT,24.2,N
40.65951,-122.38722,339.1,2026-08-20,1002,N,VIIRS,n,2.0NRT,5.5,N
40.63054,-122.40579,339.2,2026-08-20,0842,N,VIIRS,n,2.0NRT,23.2,N
40.65477,-122.38874,341.2,2026-08-20,0922,N,VIIRS,n,2.0NRT,6.2,N
40.64595,-122.41363,345.1,2026-08-20,1052,N,VIIRS,n,2.0NRT,11.8,N
40.6515,-122.38637,338.8,2026-08-20,0802,N,VIIRS,n,2.0NRT,17.4,N
40.62623,-122.39785,340.6,2026-08-20,0822,N,VIIRS,n,2.0NRT,33.0,N
40.64327,-122.39135,330.4,2026-08-20,0822,N,VIIRS,n,2.0NRT,2.4,N
40.63638,-122.39328,341.7,2026-08-20,0902,N,VIIRS,n,2.0NRT,16.1,N
40.63688,-122.39011,344.2,2026-08-20,0952,N,VIIRS,n,2.0NRT,7.9,N
40.65825,-122.42383,344.6,2026-08-20,1052,N,VIIRS,n,2.0NRT,6.6,N
40.63706,-122.38981,338.9,2026-08-20,1042,N,VIIRS,n,2.0NRT,17.1,N
40.64367,-122.39661,343.1,2026-08-20,1002,N,VIIRS,n,2.0NRT,20.8,N
40.61822,-122.38793,328.0,2026-08-20,1042,N,VIIRS,n,2.0NRT,10.6,N
40.66142,-122.41102,335.9,2026-08-20,1042,N,VIIRS,n,2.0NRT,2.7,N
40.65071,-122.39607,346.5,2026-08-20,1052,N,VIIRS,n,2.0NRT,9.3,N
40.63924,-122.40506,339.4,2026-08-20,0942,N,VIIRS,n,2.0NRT,11.1,N
40.63585,-122.37588,336.4,2026-08-20,1042,N,VIIRS,n,2.0NRT,12.5,N
40.64722,-122.37052,344.8,2026-08-20,0952,N,VIIRS,n,2.0NRT,5.3,N
40.6546,-122.38656,333.8,2026-08-20,0802,N,VIIRS,n,2.0NRT,3.1,N
40.66162,-122.38656,345.6,2026-08-20,0902,N,VIIRS,n,2.0NRT,10.5,N
40.65027,-122.39568,336.1,2026-08-20,0942,N,VIIRS,n,2.0NRT,7.5,N
40.64083,-122.40065,342.2,2026-08-20,0852,N,VIIRS,n,2.0NRT,10.0,N
40.65227,-122.40661,346.4,2026-08-20,0832,N,VIIRS,n,2.0NRT,8.8,N
40.6497,-122.39436,339.2,2026-08-20,1022,N,VIIRS,n,2.0NRT,24.9,N
40.65452,-122.38269,340.4,2026-08-20,1012,N,VIIRS,n,2.0NRT,39.7,N
40.66258,-122.38294,342.0,2026-08-20,0932,N,VIIRS,n,2.0NRT,24.3,N
40.62051,-122.39283,330.5,2026-08-20,1032,N,VIIRS,n,2.0NRT,14.7,N
40.62547,-122.39843,338.2,2026-08-20,0922,N,VIIRS,n,2.0NRT,4.2,N
40.65874,-122.38409,342.1,2026-08-20,0942,N,VIIRS,n,2.0NRT,24.8,N
40.63133,-122.40457,343.7,2026-08-20,0842,N,VIIRS,n,2.0NRT,9.3,N
40.64041,-122.40709,340.0,2026-08-20,0922,N,VIIRS,n,2.0NRT,24.2,N
40.63168,-122.38813,340.5,2026-08-20,0852,N,VIIRS,n,2.0NRT,13.8,N
40.65433,-122.38445,335.3,2026-08-20,0812,N,VIIRS,n,2.0NRT,11.2,N
40.61159,-122.38823,343.7,2026-08-20,0802,N,VIIRS,n,2.0NRT,5.5,N
40.64089,-122.38687,338.3,2026-08-20,0922,N,VIIRS,n,2.0NRT,24.5,N
40.66004,-122.41758,329.0,2026-08-20,1002,N,VIIRS,n,2.0NRT,9.1,N
40.63267,-122.38467,348.2,2026-08-20,1002,N,VIIRS,n,2.0NRT,1.3,N
40.62039,-122.3737,322.2,2026-08-20,0952,N,VIIRS,n,2.0NRT,6.3,N
41.05968,-123.31326,334.2,2026-08-20,0852,N,VIIRS,n,2.0NRT,14.0,N
41.04776,-123.31314,348.4,2026-08-20,1022,N,VIIRS,n,2.0NRT,18.2,N
41.04376,-123.31619,341.5,2026-08-20,0922,N,VIIRS,n,2.0NRT,19.5,N
41.0504,-123.31534,337.3,2026-08-20,1002,N,VIIRS,n,2.0NRT,5.6,N
41.05316,-123.31362,336.8,2026-08-20,1032,N,VIIRS,n,2.0NRT,1.6,N
41.05267,-123.31775,329.9,2026-08-20,1052,N,VIIRS,n,2.0NRT,0.5,N
41.05099,-123.28572,335.5,2026-08-20,0852,N,VIIRS,n,2.0NRT,7.0,N
41.04899,-123.28564,336.9,2026-08-20,0902,N,VIIRS,n,2.0NRT,2.3,N
41.05081,-123.28903,340.3,2026-08-20,0912,N,VIIRS,n,2.0NRT,7.1,N
41.05283,-123.28235,339.0,2026-08-20,0952,N,VIIRS,n,2.0NRT,14.0,N
41.05154,-123.28277,331.3,2026-08-20,0902,N,VIIRS,n,2.0NRT,11.2,N
41.05119,-123.27686,341.1,2026-08-20,1052,N,VIIRS,n,2.0NRT,9.1,N
35.42,-119.05,348.0,2026-08-20,1022,N,VIIRS,n,2.0NRT,4.0,N
35.423,-119.05,338.5,2026-08-20,0952,N,VIIRS,n,2.0NRT,4.0,N
35.417,-119.05,325.5,2026-08-20,0852,N,VIIRS,n,2.0NRT,4.0,N
40.64571,-122.40365,337.2,2026-08-21,0852,N,VIIRS,n,2.0NRT,20.4,N
40.66043,-122.35884,345.7,2026-08-21,1052,N,VIIRS,n,2.0NRT,14.7,N
40.63282,-122.40023,326.1,2026-08-21,0902,N,VIIRS,n,2.0NRT,5.7,N
40.65344,-122.36448,346.7,2026-08-21,0802,N,VIIRS,n,2.0NRT,5.2,N
40.63215,-122.38436,346.3,2026-08-21,1042,N,VIIRS,n,2.0NRT,4.6,N
40.67659,-122.41212,338.7,2026-08-21,0822,N,VIIRS,n,2.0NRT,5.2,N
40.6313,-122.39418,333.8,2026-08-21,0802,N,VIIRS,n,2.0NRT,11.5,N
40.6424,-122.37614,330.6,2026-08-21,0922,N,VIIRS,n,2.0NRT,9.9,N
40.65353,-122.41391,339.4,2026-08-21,0812,N,VIIRS,n,2.0NRT,8.8,N
40.65752,-122.39643,334.5,2026-08-21,0912,N,VIIRS,n,2.0NRT,0.8,N
40.66861,-122.39716,333.2,2026-08-21,0922,N,VIIRS,n,2.0NRT,14.4,N
40.64071,-122.3801,343.3,2026-08-21,0802,N,VIIRS,n,2.0NRT,16.2,N
40.66114,-122.38146,344.7,2026-08-21,1002,N,VIIRS,n,2.0NRT,14.4,N
40.62539,-122.38014,346.0,2026-08-21,0832,N,VIIRS,n,2.0NRT,2.3,N
40.6349,-122.38456,340.6,2026-08-21,0852,N,VIIRS,n,2.0NRT,4.7,N
40.62921,-122.38148,337.8,2026-08-21,1052,N,VIIRS,n,2.0NRT,36.6,N
40.63822,-122.40673,333.9,2026-08-21,1032,N,VIIRS,n,2.0NRT,11.8,N
40.66042,-122.38447,334.5,2026-08-21,0812,N,VIIRS,n,2.0NRT,36.4,N
40.64104,-122.36681,347.5,2026-08-21,0922,N,VIIRS,n,2.0NRT,18.5,N
40.64357,-122.38753,342.0,2026-08-21,1022,N,VIIRS,n,2.0NRT,19.7,N
40.65393,-122.39705,332.3,2026-08-21,1042,N,VIIRS,n,2.0NRT,12.4,N
40.65688,-122.39579,341.5,2026-08-21,0832,N,VIIRS,n,2.0NRT,35.3,N
40.64399,-122.36811,333.4,2026-08-21,0812,N,VIIRS,n,2.0NRT,11.8,N
40.63481,-122.42323,339.7,2026-08-21,1002,N,VIIRS,n,2.0NRT,12.2,N
40.67352,-122.35078,340.1,2026-08-21,0952,N,VIIRS,n,2.0NRT,36.6,N
40.64408,-122.41628,333.5,2026-08-21,0812,N,VIIRS,n,2.0NRT,12.1,N
40.64547,-122.39218,343.1,2026-08-21,0932,N,VIIRS,n,2.0NRT,6.1,N
40.64723,-122.40426,346.0,2026-08-21,0812,N,VIIRS,n,2.0NRT,1.8,N
40.65846,-122.38034,334.9,2026-08-21,0832,N,VIIRS,n,2.0NRT,23.6,N
40.62818,-122.37779,347.7,2026-08-21,1032,N,VIIRS,n,2.0NRT,15.1,N
40.67997,-122.38549,338.1,2026-08-21,1032,N,VIIRS,n,2.0NRT,10.5,N
40.64508,-122.39007,341.5,2026-08-21,0922,N,VIIRS,n,2.0NRT,9.9,N
40.65898,-122.41327,337.6,2026-08-21,0842,N,VIIRS,n,2.0NRT,6.9,N
40.6524,-122.3937,337.1,2026-08-21,1012,N,VIIRS,n,2.0NRT,14.3,N
40.67698,-122.39054,328.8,2026-08-21,0952,N,VIIRS,n,2.0NRT,4.0,N
40.67435,-122.40411,347.3,2026-08-21,0942,N,VIIRS,n,2.0NRT,11.9,N
40.65857,-122.38334,333.2,2026-08-21,1052,N,VIIRS,n,2.0NRT,15.6,N
40.63731,-122.38541,338.0,2026-08-21,0812,N,VIIRS,n,2.0NRT,6.1,N
40.6677,-122.39273,351.4,2026-08-21,1022,N,VIIRS,n,2.0NRT,37.4,N
40.6253,-122.38826,340.8,2026-08-21,0912,N,VIIRS,n,2.0NRT,35.8,N
40.63682,-122.393,335.8,2026-08-21,0832,N,VIIRS,n,2.0NRT,70.4,N
40.64881,-122.4129,345.5,2026-08-21,0922,N,VIIRS,n,2.0NRT,8.7,N
40.62641,-122.38096,342.0,2026-08-21,0842,N,VIIRS,n,2.0NRT,14.4,N
40.64237,-122.42545,339.6,2026-08-21,0952,N,VIIRS,n,2.0NRT,4.9,N
40.66146,-122.38402,331.9,2026-08-21,0932,N,VIIRS,n,2.0NRT,6.5,N
40.63958,-122.40723,341.7,2026-08-21,0822,N,VIIRS,n,2.0NRT,7.1,N
40.6622,-122.3829,328.6,2026-08-21,1002,N,VIIRS,n,2.0NRT,19.5,N
40.68479,-122.38187,339.4,2026-08-21,0852,N,VIIRS,n,2.0NRT,11.6,N
40.65566,-122.39044,333.3,2026-08-21,0952,N,VIIRS,n,2.0NRT,13.8,N
40.66192,-122.37887,347.5,2026-08-21,0832,N,VIIRS,n,2.0NRT,4.3,N
40.66828,-122.39561,337.5,2026-08-21,0812,N,VIIRS,n,2.0NRT,5.6,N
40.64364,-122.39499,335.9,2026-08-21,0942,N,VIIRS,n,2.0NRT,9.1,N
40.65096,-122.39107,342.3,2026-08-21,0842,N,VIIRS,n,2.0NRT,10.0,N
40.64971,-122.38482,336.3,2026-08-21,0902,N,VIIRS,n,2.0NRT,10.0,N
40.65188,-122.39184,340.4,2026-08-21,0852,N,VIIRS,n,2.0NRT,10.0,N
40.6499,-122.38511,343.3,2026-08-21,0812,N,VIIRS,n,2.0NRT,10.0,N
40.65664,-122.38825,348.6,2026-08-21,0932,N,VIIRS,n,2.0NRT,10.0,N
40.65553,-122.38756,338.1,2026-08-21,0852,N,VIIRS,n,2.0NRT,10.0,N
40.65724,-122.39299,339.0,2026-08-21,0822,N,VIIRS,n,2.0NRT,10.0,N
40.65386,-122.38087,338.6,2026-08-21,0902,N,VIIRS,n,2.0NRT,10.0,N
40.65935,-122.39224,347.0,2026-08-21,1052,N,VIIRS,n,2.0NRT,10.0,N
40.65622,-122.37842,333.1,2026-08-21,0812,N,VIIRS,n,2.0NRT,10.0,N
40.66355,-122.39268,341.3,2026-08-21,0812,N,VIIRS,n,2.0NRT,10.0,N
40.65798,-122.3751,341.7,2026-08-21,0932,N,VIIRS,n,2.0NRT,10.0,N
40.66467,-122.40156,342.3,2026-08-21,1042,N,VIIRS,n,2.0NRT,10.0,N
40.65495,-122.3745,342.9,2026-08-21,1022,N,VIIRS,n,2.0NRT,10.0,N
40.66491,-122.39424,337.1,2026-08-21,0932,N,VIIRS,n,2.0NRT,10.0,N
40.6598,-122.37248,349.7,2026-08-21,0852,N,VIIRS,n,2.0NRT,10.0,N
40.66666,-122.39849,339.8,2026-08-21,0952,N,VIIRS,n,2.0NRT,10.0,N
40.66069,-122.37268,345.5,2026-08-21,1002,N,VIIRS,n,2.0NRT,10.0,N
40.67043,-122.39976,341.3,2026-08-21,0852,N,VIIRS,n,2.0NRT,10.0,N
40.6606,-122.37118,346.6,2026-08-21,0832,N,VIIRS,n,2.0NRT,10.0,N
40.6705,-122.39995,342.8,2026-08-21,0922,N,VIIRS,n,2.0NRT,10.0,N
40.66446,-122.36553,342.2,2026-08-21,0902,N,VIIRS,n,2.0NRT,10.0,N
40.67286,-122.40145,338.2,2026-08-21,1032,N,VIIRS,n,2.0NRT,10.0,N
40.66714,-122.36194,350.8,2026-08-21,1042,N,VIIRS,n,2.0NRT,10.0,N
40.67778,-122.40269,344.6,2026-08-21,0932,N,VIIRS,n,2.0NRT,10.0,N
40.66706,-122.36115,339.6,2026-08-21,0922,N,VIIRS,n,2.0NRT,10.0,N
40.6795,-122.40342,340.0,2026-08-21,1002,N,VIIRS,n,2.0NRT,10.0,N
40.66954,-122.36145,344.5,2026-08-21,0802,N,VIIRS,n,2.0NRT,10.0,N
40.6802,-122.40308,337.0,2026-08-21,1052,N,VIIRS,n,2.0NRT,10.0,N
40.66751,-122.36064,340.3,2026-08-21,1012,N,VIIRS,n,2.0NRT,10.0,N
40.68433,-122.40601,342.0,2026-08-21,1052,N,VIIRS,n,2.0NRT,10.0,N
40.67182,-122.35527,327.4,2026-08-21,1052,N,VIIRS,n,2.0NRT,10.0,N
39.29128,-120.84986,335.4,2026-08-21,1012,N,VIIRS,n,2.0NRT,30.2,N
39.29998,-120.84582,334.3,2026-08-21,1052,N,VIIRS,n,2.0NRT,11.7,N
39.30475,-120.84919,340.7,2026-08-21,0822,N,VIIRS,n,2.0NRT,5.7,N
39.298,-120.84806,340.9,2026-08-21,0912,N,VIIRS,n,2.0NRT,4.9,N
39.29789,-120.85001,339.1,2026-08-21,0812,N,VIIRS,n,2.0NRT,20.1,N
39.30394,-120.85223,336.1,2026-08-21,0902,N,VIIRS,n,2.0NRT,12.6,N
39.30322,-120.84729,348.7,2026-08-21,0802,N,VIIRS,n,2.0NRT,6.9,N
39.29618,-120.8461,338.6,2026-08-21,0952,N,VIIRS,n,2.0NRT,15.7,N
41.04361,-123.30891,345.8,2026-08-21,0812,N,VIIRS,n,2.0NRT,20.9,N
41.05923,-123.29084,343.6,2026-08-21,0942,N,VIIRS,n,2.0NRT,16.2,N
41.04589,-123.30045,331.9,2026-08-21,1042,N,VIIRS,n,2.0NRT,2.8,N
41.05171,-123.31156,348.9,2026-08-21,1042,N,VIIRS,n,2.0NRT,17.9,N
41.05303,-123.31007,340.6,2026-08-21,0952,N,VIIRS,n,2.0NRT,2.6,N
41.05077,-123.31336,342.1,2026-08-21,0802,N,VIIRS,n,2.0NRT,16.2,N
41.04021,-123.32131,335.5,2026-08-21,1042,N,VIIRS,n,2.0NRT,10.4,N
41.05457,-123.31244,350.6,2026-08-21,0912,N,VIIRS,n,2.0NRT,6.5,N
41.04583,-123.31044,334.6,2026-08-21,0932,N,VIIRS,n,2.0NRT,6.2,N
41.05556,-123.30924,339.0,2026-08-21,0942,N,VIIRS,n,2.0NRT,4.2,N
41.04541,-123.30192,339.5,2026-08-21,0942,N,VIIRS,n,2.0NRT,7.9,N
41.06203,-123.30574,334.1,2026-08-21,1032,N,VIIRS,n,2.0NRT,6.1,N
41.03599,-123.2933,337.5,2026-08-21,0902,N,VIIRS,n,2.0NRT,32.8,N
41.0501,-123.28467,339.3,2026-08-21,0822,N,VIIRS,n,2.0NRT,2.6,N
41.05331,-123.29219,335.4,2026-08-21,0822,N,VIIRS,n,2.0NRT,7.0,N
41.05713,-123.28229,332.1,2026-08-21,0932,N,VIIRS,n,2.0NRT,9.8,N
41.05129,-123.28276,339.9,2026-08-21,0812,N,VIIRS,n,2.0NRT,3.7,N
41.05191,-123.29343,343.7,2026-08-21,1052,N,VIIRS,n,2.0NRT,5.8,N
41.05488,-123.28873,338.5,2026-08-21,0902,N,VIIRS,n,2.0NRT,20.4,N
41.05001,-123.27919,332.6,2026-08-21,0842,N,VIIRS,n,2.0NRT,25.3,N
41.03284,-123.29942,332.1,2026-08-21,0822,N,VIIRS,n,2.0NRT,19.9,N
41.04169,-123.29204,336.1,2026-08-21,0812,N,VIIRS,n,2.0NRT,10.2,N
35.42,-119.05,335.7,2026-08-21,0802,N,VIIRS,n,2.0NRT,4.0,N
35.423,-119.05,353.7,2026-08-21,0912,N,VIIRS,n,2.0NRT,4.0,N
35.417,-119.05,345.3,2026-08-21,0912,N,VIIRS,n,2.0NRT,4.0,N
40.65688,-122.39599,342.6,2026-08-22,0832,N,VIIRS,n,2.0NRT,5.8,N
40.61545,-122.40715,342.0,2026-08-22,0842,N,VIIRS,n,2.0NRT,4.6,N
40.62958,-122.4218,338.5,2026-08-22,0852,N,VIIRS,n,2.0NRT,22.1,N
40.63992,-122.36174,344.3,2026-08-22,0852,N,VIIRS,n,2.0NRT,3.5,N
40.65925,-122.36232,337.0,2026-08-22,1032,N,VIIRS,n,2.0NRT,16.4,N
40.6669,-122.37085,345.5,2026-08-22,0852,N,VIIRS,n,2.0NRT,9.5,N
40.64486,-122.3752,342.3,2026-08-22,0852,N,VIIRS,n,2.0NRT,21.3,N
40.67224,-122.39369,345.8,2026-08-22,0942,N,VIIRS,n,2.0NRT,28.3,N
40.6694,-122.37449,330.4,2026-08-22,0902,N,VIIRS,n,2.0NRT,20.9,N
40.65077,-122.40286,341.1,2026-08-22,1052,N,VIIRS,n,2.0NRT,15.3,N
40.64011,-122.38255,322.8,2026-08-22,0922,N,VIIRS,n,2.0NRT,30.7,N
40.66549,-122.39731,340.6,2026-08-22,0802,N,VIIRS,n,2.0NRT,10.2,N
40.66045,-122.37441,334.5,2026-08-22,0852,N,VIIRS,n,2.0NRT,4.3,N
40.67039,-122.35793,342.8,2026-08-22,1012,N,VIIRS,n,2.0NRT,30.8,N
40.68145,-122.40082,338.9,2026-08-22,0952,N,VIIRS,n,2.0NRT,37.9,N
40.68828,-122.39292,338.1,2026-08-22,0902,N,VIIRS,n,2.0NRT,3.0,N
40.67755,-122.38286,344.2,2026-08-22,0952,N,VIIRS,n,2.0NRT,7.8,N
40.65308,-122.41437,343.1,2026-08-22,0942,N,VIIRS,n,2.0NRT,18.6,N
40.65712,-122.4102,347.6,2026-08-22,0822,N,VIIRS,n,2.0NRT,45.6,N
40.67625,-122.35852,346.0,2026-08-22,0952,N,VIIRS,n,2.0NRT,5.5,N
40.64661,-122.37893,338.7,2026-08-22,0912,N,VIIRS,n,2.0NRT,11.9,N
40.64781,-122.39456,334.5,2026-08-22,0822,N,VIIRS,n,2.0NRT,29.5,N
40.67301,-122.38465,344.5,2026-08-22,1052,N,VIIRS,n,2.0NRT,22.1,N
40.68923,-122.3921,330.2,2026-08-22,0932,N,VIIRS,n,2.0NRT,5.1,N
40.67679,-122.38236,322.3,2026-08-22,0822,N,VIIRS,n,2.0NRT,10.9,N
40.67337,-122.39151,342.2,2026-08-22,1032,N,VIIRS,n,2.0NRT,25.0,N
40.65917,-122.38594,341.7,2026-08-22,0952,N,VIIRS,n,2.0NRT,30.1,N
40.64595,-122.37288,336.4,2026-08-22,1002,N,VIIRS,n,2.0NRT,31.4,N
40.67092,-122.37403,337.6,2026-08-22,1022,N,VIIRS,n,2.0NRT,16.9,N
40.68582,-122.35965,340.5,2026-08-22,0822,N,VIIRS,n,2.0NRT,10.7,N
40.6537,-122.37773,335.7,2026-08-22,1022,N,VIIRS,n,2.0NRT,15.2,N
40.64952,-122.38361,340.2,2026-08-22,0842,N,VIIRS,n,2.0NRT,16.3,N
40.64992,-122.35678,329.4,2026-08-22,0902,N,VIIRS,n,2.0NRT,3.2,N
40.66611,-122.38766,326.4,2026-08-22,0852,N,VIIRS,n,2.0NRT,25.1,N
40.68005,-122.42047,331.3,2026-08-22,1002,N,VIIRS,n,2.0NRT,10.3,N
40.62616,-122.37063,343.4,2026-08-22,0852,N,VIIRS,n,2.0NRT,34.9,N
40.66102,-122.37979,335.1,2026-08-22,1022,N,VIIRS,n,2.0NRT,14.9,N
40.63772,-122.38439,341.1,2026-08-22,0812,N,VIIRS,n,2.0NRT,3.1,N
40.69366,-122.37015,333.6,2026-08-22,0802,N,VIIRS,n,2.0NRT,11.5,N
40.66285,-122.39138,333.1,2026-08-22,0842,N,VIIRS,n,2.0NRT,4.3,N
40.65337,-122.41977,336.3,2026-08-22,0922,N,VIIRS,n,2.0NRT,3.9,N
40.66433,-122.3698,343.0,2026-08-22,1012,N,VIIRS,n,2.0NRT,14.9,N
40.63353,-122.39511,340.8,2026-08-22,0902,N,VIIRS,n,2.0NRT,11.3,N
40.64055,-122.40022,328.0,2026-08-22,1012,N,VIIRS,n,2.0NRT,17.4,N
40.6609,-122.41902,347.9,2026-08-22,0932,N,VIIRS,n,2.0NRT,13.7,N
40.67032,-122.37134,346.5,2026-08-22,1002,N,VIIRS,n,2.0NRT,10.0,N
40.65578,-122.42568,343.7,2026-08-22,0922,N,VIIRS,n,2.0NRT,10.2,N
40.64326,-122.36329,333.0,2026-08-22,1002,N,VIIRS,n,2.0NRT,14.7,N
40.61333,-122.38984,329.9,2026-08-22,1052,N,VIIRS,n,2.0NRT,5.0,N
40.64018,-122.37048,345.0,2026-08-22,0822,N,VIIRS,n,2.0NRT,31.4,N
40.64866,-122.37721,338.6,2026-08-22,0922,N,VIIRS,n,2.0NRT,10.7,N
40.6695,-122.35315,342.4,2026-08-22,0812,N,VIIRS,n,2.0NRT,5.8,N
40.65659,-122.37768,337.8,2026-08-22,0852,N,VIIRS,n,2.0NRT,6.3,N
40.63505,-122.364,344.6,2026-08-22,0842,N,VIIRS,n,2.0NRT,6.9,N
40.64722,-122.39342,340.8,2026-08-22,0842,N,VIIRS,n,2.0NRT,10.4,N
40.65963,-122.41026,336.2,2026-08-22,0952,N,VIIRS,n,2.0NRT,4.1,N
40.66384,-122.36775,330.5,2026-08-22,1012,N,VIIRS,n,2.0NRT,13.2,N
40.66492,-122.41069,339.9,2026-08-22,1052,N,VIIRS,n,2.0NRT,9.8,N
40.65792,-122.37153,346.2,2026-08-22,0952,N,VIIRS,n,2.0NRT,3.6,N
40.62845,-122.40206,339.1,2026-08-22,1042,N,VIIRS,n,2.0NRT,15.1,N
40.67473,-122.37946,330.3,2026-08-22,0822,N,VIIRS,n,2.0NRT,6.4,N
40.66692,-122.35276,337.3,2026-08-22,0922,N,VIIRS,n,2.0NRT,22.4,N
40.66787,-122.37295,335.6,2026-08-22,0852,N,VIIRS,n,2.0NRT,3.0,N
40.70554,-122.38759,341.4,2026-08-22,0812,N,VIIRS,n,2.0NRT,16.3,N
40.65786,-122.38411,346.8,2026-08-22,0922,N,VIIRS,n,2.0NRT,10.0,N
40.65716,-122.38462,348.1,2026-08-22,0812,N,VIIRS,n,2.0NRT,10.0,N
40.66274,-122.38573,337.7,2026-08-22,0912,N,VIIRS,n,2.0NRT,10.0,N
40.66091,-122.38197,340.5,2026-08-22,0852,N,VIIRS,n,2.0NRT,10.0,N
